epoch,train_acc,val_acc,train_loss,val_loss,avg_grad,GPU1_tot,GPU1_occ
0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0.78,0.916,1.54,1.566,0.0037,25447.0,13
1,0.927,0.94,1.587,1.531,0.0031,25447.0,13
2,0.947,0.954,1.505,1.515,0.0016,25447.0,13
3,0.956,0.965,1.49,1.503,0.0026,25447.0,13
4,0.965,0.968,1.524,1.498,0.0026,25447.0,13
5,0.97,0.969,1.48,1.496,0.0025,25447.0,13
6,0.974,0.974,1.49,1.492,0.0029,25447.0,13
7,0.976,0.976,1.501,1.489,0.0016,25447.0,13
8,0.979,0.976,1.466,1.487,0.0012,25447.0,13
9,0.98,0.979,1.462,1.485,0.0001,25447.0,13
10,0.982,0.98,1.472,1.484,0.0024,25447.0,13
11,0.983,0.982,1.474,1.482,0.0024,25447.0,13
12,0.985,0.981,1.463,1.483,0.0004,25447.0,13
13,0.986,0.983,1.464,1.48,0.0007,25447.0,13
14,0.987,0.982,1.492,1.481,0.0002,25447.0,13
15,0.988,0.983,1.476,1.48,0.002,25447.0,13
16,0.99,0.982,1.482,1.48,0.0021,25447.0,13
17,0.99,0.983,1.462,1.48,0.0001,25447.0,13
18,0.991,0.984,1.466,1.479,0.0012,25447.0,13
19,0.992,0.984,1.465,1.478,0.0013,25447.0,13
20,0.991,0.983,1.465,1.479,0.0012,25447.0,13
21,0.992,0.983,1.463,1.479,0.0006,25447.0,13
22,0.992,0.985,1.494,1.478,0.0011,25447.0,13
23,0.993,0.981,1.498,1.481,0.0022,25447.0,13
24,0.993,0.985,1.485,1.478,0.0032,25447.0,13
25,0.993,0.984,1.461,1.478,0.0,25447.0,13
26,0.994,0.982,1.461,1.48,0.0,25447.0,13
27,0.994,0.983,1.462,1.479,0.0002,25447.0,13
28,0.994,0.984,1.463,1.478,0.0004,25447.0,13
29,0.994,0.984,1.461,1.478,0.0,25447.0,13
30,0.995,0.985,1.465,1.477,0.0021,25447.0,13
31,0.995,0.983,1.461,1.479,0.0,25447.0,13
32,0.995,0.985,1.462,1.476,0.0002,25447.0,13
33,0.995,0.984,1.461,1.478,0.0,25447.0,13
34,0.996,0.984,1.461,1.478,0.0,25447.0,13
35,0.996,0.984,1.461,1.477,0.0,25447.0,13
36,0.996,0.985,1.463,1.477,0.0006,25447.0,13
37,0.996,0.985,1.461,1.476,0.0,25447.0,13
38,0.996,0.981,1.461,1.481,0.0001,25447.0,13
39,0.996,0.984,1.463,1.477,0.0005,25447.0,13
40,0.996,0.986,1.462,1.476,0.0003,25447.0,13
41,0.996,0.985,1.461,1.477,0.0,25447.0,13
42,0.996,0.985,1.461,1.477,0.0,25447.0,13
43,0.996,0.985,1.461,1.476,0.0,25447.0,13
44,0.996,0.984,1.461,1.477,0.0001,25447.0,13
45,0.997,0.985,1.461,1.476,0.0,25447.0,13
46,0.997,0.983,1.461,1.478,0.0,25447.0,13
47,0.996,0.984,1.463,1.477,0.0007,25447.0,13
48,0.997,0.984,1.461,1.477,0.0,25447.0,13
49,0.997,0.986,1.461,1.476,0.0,25447.0,13
50,0.997,0.984,1.463,1.477,0.0004,25447.0,13
51,0.997,0.983,1.461,1.479,0.0,25447.0,13
52,0.997,0.983,1.462,1.478,0.0005,25447.0,13
53,0.997,0.985,1.462,1.477,0.0002,25447.0,13
54,0.997,0.984,1.461,1.477,0.0001,25447.0,13
55,0.997,0.985,1.462,1.477,0.0004,25447.0,13
56,0.997,0.984,1.461,1.478,0.0,25447.0,13
57,0.996,0.984,1.462,1.477,0.0003,25447.0,13
58,0.997,0.984,1.461,1.477,0.0,25447.0,13
59,0.997,0.986,1.492,1.476,0.0,25447.0,13
60,0.997,0.986,1.463,1.476,0.0003,25447.0,13
61,0.997,0.986,1.461,1.475,0.0,25447.0,13
62,0.997,0.986,1.492,1.476,0.0002,25447.0,13
63,0.997,0.986,1.461,1.476,0.0,25447.0,13
64,0.997,0.975,1.465,1.487,0.0015,25447.0,13
